Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean
CA_CB_ACC_DON,2.5,5,6,SOScore05,0.3727623457,0.5895061728,0.7077160494,0.7424382716,0.6395061728,0.4757716049,0.8436728395,0.8868055556,0.5836419753,0.3902777778,0.6232098765
CA,1.5,5,6,SOScore05,0.4915123457,0.5415123457,0.6847222222,0.7080246914,0.686882716,0.4959876543,0.7182098765,0.8405864198,0.5522376543,0.5025462963,0.6222222222
CA_CB,3,5,6,SrelScore05,0.4915895062,0.5553240741,0.6241512346,0.8885802469,0.6276234568,0.3729166667,0.8078703704,0.8092592593,0.5284722222,0.5125,0.6218287037
CA,2,5,6,SOScore08,0.4959876543,0.5417438272,0.7165123457,0.6680555556,0.7509259259,0.4939814815,0.6705246914,0.825462963,0.5383487654,0.5111111111,0.6212654321
CA,2,5,6,SO,0.4944444444,0.5392746914,0.7049382716,0.6578703704,0.7697530864,0.4955246914,0.6671296296,0.8205246914,0.5426697531,0.512808642,0.6204938272
CA,2.5,5,6,aaScore05,0.5,0.5489969136,0.7366512346,0.8009259259,0.7141975309,0.5,0.6169753086,0.6962962963,0.6010030864,0.4746141975,0.6189660494
CA_CB_ACC_DON,2,5,6,SOScore05,0.4222993827,0.5736111111,0.7145833333,0.7239969136,0.5996141975,0.481558642,0.8485339506,0.893904321,0.5293209877,0.3949074074,0.6182330247
CA,3,5,6,GO,0.475462963,0.5331790123,0.7351851852,0.7517746914,0.5907407407,0.4986111111,0.7374228395,0.8030864198,0.5829475309,0.4631944444,0.6171604938
CA_CB,3.5,5,6,SOScore05,0.4411265432,0.5045524691,0.7801697531,0.7641203704,0.6548611111,0.3966049383,0.8292438272,0.8175154321,0.4932098765,0.487962963,0.6169367284
CA_ACC_DON,1.5,5,6,SOScore05,0.4364197531,0.5231481481,0.6561728395,0.6305555556,0.6000771605,0.5380401235,0.8013888889,0.9086419753,0.6093364198,0.4550154321,0.6158796296
CA_ACC_DON,2,5,6,SOScore05,0.4015432099,0.5,0.7020061728,0.7298611111,0.6090277778,0.5005401235,0.8202932099,0.8953703704,0.5652006173,0.4161265432,0.6139969136
CA_ACC_DON,3,5,6,GO,0.45625,0.6898919753,0.6401234568,0.6679783951,0.5348765432,0.5523919753,0.7414351852,0.7388117284,0.6226851852,0.481095679,0.6125540123
CA_CB,2.5,5,6,SOScore05,0.4481481481,0.5336419753,0.7569444444,0.7276234568,0.6520833333,0.3964506173,0.8085648148,0.8072530864,0.4962962963,0.4969907407,0.6123996914
CA_CB_ACC_DON,1.5,5,6,SOScore05,0.4661265432,0.5411265432,0.6702160494,0.6271604938,0.5638117284,0.5322530864,0.8103395062,0.9036265432,0.5659722222,0.4424382716,0.6123070988
CA,1.5,5,6,SOScore08,0.487345679,0.5415123457,0.6489197531,0.6317901235,0.7279320988,0.4944444444,0.6924382716,0.8382716049,0.5472993827,0.5052469136,0.6115200617
CA_ACC_DON,2.5,5,6,RMSD,0.7865740741,0.5316358025,0.6233024691,0.4885802469,0.4951388889,0.7165895062,0.6307098765,0.7621141975,0.53125,0.5484567901,0.6114351852
CA_CB_ACC_DON,2,5,6,SOScore08,0.3804783951,0.5412808642,0.6971450617,0.712654321,0.6117283951,0.4739969136,0.8421296296,0.9027006173,0.5555555556,0.3933641975,0.6111033951
CA_CB_ACC_DON,2.5,5,6,SOScore08,0.3257716049,0.5462191358,0.7,0.7302469136,0.6365740741,0.4541666667,0.8494598765,0.8908950617,0.5861111111,0.3913580247,0.6110802469
CA_CB_ACC_DON,3,5,6,GO,0.4824845679,0.7076388889,0.6469135802,0.6591820988,0.5564814815,0.5699074074,0.7332561728,0.7201388889,0.5422839506,0.4901234568,0.6108410494
CA_CB,3.5,5,6,SOScore08,0.4407407407,0.4977623457,0.7729938272,0.7427469136,0.6478395062,0.4134259259,0.8040895062,0.8013888889,0.4945216049,0.4866512346,0.6102160494
CA,3,5,6,aaScore08,0.4935185185,0.5486882716,0.7787808642,0.7828703704,0.6697530864,0.499537037,0.5733024691,0.6573302469,0.5920524691,0.4935185185,0.6089351852
